T,gyro_1f_ay
20.69356,46
20.793552,44
20.893517,75
20.993534,52
21.093534,94
21.19353,98
21.293524,101
21.393511,108
21.493515,96
21.593488,92
21.693519,114
21.79351,74
21.893492,115
21.993493,123
22.09398,148
22.193519,190
22.393986,109
22.593515,180
22.693493,129
22.793545,152
22.893547,58
22.993547,119
23.093516,118
23.193503,150
23.293514,120
23.393518,100
23.49349,77
23.593543,118
23.693547,89
23.793521,87
23.893536,48
23.993509,128
24.093504,79
24.193545,136
24.294044,163
24.39352,57
24.493524,97
24.593511,129
24.693502,112
24.793529,113
24.893534,136
24.993521,117
25.093542,165
25.193544,100
25.293514,115
25.393531,139
25.493523,167
25.593522,100
25.693474,107
25.793501,153
25.893469,166
25.993464,150
26.093472,135
26.194028,124
26.29351,69
26.393488,123
26.493483,138
26.59349,103
26.693472,193
26.793466,105
26.893467,75
26.993481,122
27.093516,127
27.193463,98
27.293474,133
27.393478,150
27.493447,165
27.593481,130
27.693466,163
27.793492,136
27.893485,152
27.993479,139
28.09398,123
28.193462,164
28.293472,233
28.393463,121
28.493471,144
28.593476,134
28.693461,114
28.793465,112
28.893479,172
28.99348,118
29.093465,199
29.193453,150
29.293473,146
29.39345,195
29.493498,142
29.593476,129
29.693454,132
29.793441,158
29.893455,121
29.994001,85
30.093455,240
30.193465,103
30.293498,128
30.393465,125
30.493477,113
30.593464,166
30.693494,161
30.793468,165
30.89347,188
30.993456,158
31.093491,160
31.193479,209
31.293489,127
31.393484,158
31.493488,165
31.593469,129
31.693473,131
31.7935,145
31.894003,146
31.993461,137
32.093487,159
32.193492,131
32.293458,139
32.393485,111
32.493476,43
32.593476,93
32.693487,121
32.793475,129
32.893466,93
32.993467,149
33.093449,133
33.193485,132
33.293469,180
33.393456,196
33.493486,109
33.593473,164
33.693451,127
33.793948,193
33.89346,153
33.993447,176
34.093469,103
34.193456,84
34.293476,148
34.39349,120
34.493467,147
34.593467,115
34.693445,140
34.793445,115
34.893464,146
34.993464,165
35.093472,218
35.193456,172
35.293489,134
35.393462,265
35.49344,110
35.59348,176
35.693947,158
35.793465,168
35.893458,158
35.993431,159
36.093413,119
36.19344,157
36.293447,161
36.393467,141
