T,gyro_5f_ay
-19.919338,-2
-19.819524,-3
-19.71952,0
-19.619519,-1
-19.518528,-3
-19.41934,-2
-19.31937,-2
-19.219452,-2
-19.119422,-6
-19.019459,-2
-18.919519,-2
-18.819517,-2
-18.719524,-1
-18.619528,-3
-18.51907,-3
-18.419363,-3
-18.319348,-2
-18.218536,-1
-18.119513,-2
-18.018535,-1
-17.919416,-1
-17.819538,-3
-17.718552,-3
-17.619536,0
-17.519468,-2
-17.418494,-3
-17.319397,-2
-17.219453,-3
-17.119502,-3
-17.019538,-2
-16.919504,-3
-16.819422,-2
-16.719541,-2
-16.619535,-4
-16.519543,-2
-16.419108,-1
-16.319474,-1
-16.218482,-1
-16.119374,-2
-16.019491,-2
-15.919415,-1
-15.819429,-3
-15.719483,-2
-15.619543,-3
-15.519542,-2
-15.419081,-2
-15.319367,-4
-15.21903,-4
-15.119441,0
-15.018503,0
-14.918526,-4
-14.819467,-3
-14.719491,-5
-14.61856,-3
-14.519423,-3
-14.418544,-3
-14.31938,0
-14.219408,-3
-14.119473,-2
-14.019493,-2
-13.919491,-3
-13.819515,-3
-13.719553,-2
-13.618571,-2
-13.51956,-2
-13.419567,-1
-13.31855,-2
-13.219382,-3
-13.119542,-1
-13.019528,-6
-12.919354,-1
-12.819555,-3
-12.718493,-2
-12.619571,-2
-12.519565,-2
-12.419573,-3
-12.319428,-1
-12.219451,-1
-12.119398,-3
-12.018552,-1
-11.919393,0
-11.819449,-6
-11.719368,-2
-11.61957,-1
-11.519569,-2
-11.419576,-1
-11.319468,-2
-11.219514,-4
-11.119523,-3
-11.019047,-1
-10.919439,-2
-10.819474,-2
-10.719556,-2
-10.619574,-1
-10.51959,-4
-10.419576,-2
-10.319393,-3
-10.218556,-1
-10.118507,-2
-10.018571,-2
-9.919483,-2
-9.819437,-2
-9.718534,-1
-9.619587,-3
-9.519594,-2
-9.419589,-2
-9.319536,-2
-9.219408,-2
-9.119465,-3
-9.019055,-1
-8.919429,-3
-8.819391,-3
-8.719522,0
-8.61959,-2
-8.519598,-2
-8.419588,-1
-8.319595,0
-8.21947,-4
-8.119391,0
-8.019354,0
-7.919425,0
-7.819463,-2
-7.719329,-3
-7.618505,-4
-7.519593,-1
-7.419596,-2
-7.319604,-3
-7.219458,-2
-7.119334,-2
-7.01855,-2
