T,gyro_5f_ax
-19.919338,3
-19.819524,3
-19.71952,6
-19.619519,2
-19.518528,8
-19.41934,4
-19.31937,5
-19.219452,1
-19.119422,2
-19.019459,2
-18.919519,3
-18.819517,3
-18.719524,6
-18.619528,4
-18.51907,3
-18.419363,5
-18.319348,3
-18.218536,4
-18.119513,3
-18.018535,5
-17.919416,0
-17.819538,4
-17.718552,4
-17.619536,4
-17.519468,3
-17.418494,2
-17.319397,4
-17.219453,5
-17.119502,3
-17.019538,4
-16.919504,4
-16.819422,2
-16.719541,4
-16.619535,3
-16.519543,2
-16.419108,5
-16.319474,4
-16.218482,1
-16.119374,1
-16.019491,3
-15.919415,4
-15.819429,2
-15.719483,3
-15.619543,6
-15.519542,5
-15.419081,1
-15.319367,3
-15.21903,3
-15.119441,4
-15.018503,4
-14.918526,2
-14.819467,3
-14.719491,3
-14.61856,2
-14.519423,3
-14.418544,2
-14.31938,5
-14.219408,4
-14.119473,3
-14.019493,3
-13.919491,3
-13.819515,5
-13.719553,3
-13.618571,2
-13.51956,4
-13.419567,3
-13.31855,2
-13.219382,1
-13.119542,3
-13.019528,3
-12.919354,5
-12.819555,4
-12.718493,5
-12.619571,3
-12.519565,1
-12.419573,2
-12.319428,3
-12.219451,4
-12.119398,3
-12.018552,2
-11.919393,3
-11.819449,0
-11.719368,3
-11.61957,4
-11.519569,4
-11.419576,3
-11.319468,3
-11.219514,4
-11.119523,5
-11.019047,6
-10.919439,2
-10.819474,5
-10.719556,3
-10.619574,4
-10.51959,2
-10.419576,1
-10.319393,5
-10.218556,2
-10.118507,4
-10.018571,3
-9.919483,3
-9.819437,4
-9.718534,4
-9.619587,6
-9.519594,5
-9.419589,3
-9.319536,4
-9.219408,4
-9.119465,4
-9.019055,3
-8.919429,4
-8.819391,1
-8.719522,5
-8.61959,5
-8.519598,5
-8.419588,3
-8.319595,3
-8.21947,2
-8.119391,1
-8.019354,6
-7.919425,4
-7.819463,5
-7.719329,4
-7.618505,2
-7.519593,5
-7.419596,4
-7.319604,5
-7.219458,2
-7.119334,4
-7.01855,3
-6.919523,3
-6.819401,4
-6.719085,3
-6.619531,5
-6.519539,3
-6.419604,5
-6.319612,6
-6.21849,2
-6.118607,0
-6.019499,4
-5.918591,-2
-5.81848,16
-5.719381,1
-5.619491,-3
-5.519614,26
-5.419617,-8
-5.319611,-9
-5.219513,2
-5.118623,4
-5.01943,7
-4.919516,6
-4.81853,0
-4.719422,9
-4.61944,7
-4.519552,5
-4.418636,6
-4.319624,-1
-4.218539,0
-4.118615,7
-4.018631,0
-3.918536,-1
-3.819562,9
-3.719438,9
-3.61945,-1
-3.51963,4
-3.419629,-1
-3.319624,1
-3.219631,8
-3.118615,2
-3.019505,-2
-2.918517,12
-2.819397,-23
-2.718613,15
-2.618549,18
-2.518539,13
-2.41962,-1
-2.319627,9
-2.219639,0
-2.118611,3
-2.018614,1
-1.918532,4
-1.819509,8
-1.718527,5
-1.619416,5
-1.518564,6
-1.419637,3
-1.319644,-5
-1.219639,17
-1.118645,-3
-1.018501,-15
-0.918569,-3
-0.818582,3
-0.718612,10
-0.618504,16
-0.518503,0
-0.41961,-13
-0.319644,8
-0.219651,0
-0.119486,22
-0.019545,12
0.080579,-10
0.181462,-22
0.281499,14
0.381382,-5
0.480522,6
0.580356,0
0.680339,108
0.781392,89
0.881334,101
0.980526,-34
1.080528,-96
1.181431,-3
1.281448,200
1.381353,-70
1.481371,-29
1.581474,-25
1.681492,-23
