T,gyro_5f_az
-19.919338,1250
-19.819524,1251
-19.71952,1247
-19.619519,1257
-19.518528,1257
-19.41934,1253
-19.31937,1252
-19.219452,1252
-19.119422,1253
-19.019459,1253
-18.919519,1252
-18.819517,1252
-18.719524,1248
-18.619528,1251
-18.51907,1251
-18.419363,1252
-18.319348,1253
-18.218536,1252
-18.119513,1252
-18.018535,1249
-17.919416,1252
-17.819538,1253
-17.718552,1254
-17.619536,1253
-17.519468,1252
-17.418494,1250
-17.319397,1253
-17.219453,1251
-17.119502,1253
-17.019538,1254
-16.919504,1250
-16.819422,1250
-16.719541,1249
-16.619535,1249
-16.519543,1252
-16.419108,1253
-16.319474,1253
-16.218482,1252
-16.119374,1248
-16.019491,1252
-15.919415,1253
-15.819429,1253
-15.719483,1252
-15.619543,1251
-15.519542,1251
-15.419081,1247
-15.319367,1249
-15.21903,1252
-15.119441,1253
-15.018503,1254
-14.918526,1253
-14.819467,1251
-14.719491,1251
-14.61856,1250
-14.519423,1253
-14.418544,1255
-14.31938,1250
-14.219408,1252
-14.119473,1252
-14.019493,1249
-13.919491,1254
-13.819515,1251
-13.719553,1254
-13.618571,1254
-13.51956,1250
-13.419567,1249
-13.31855,1251
-13.219382,1255
-13.119542,1252
-13.019528,1252
-12.919354,1249
-12.819555,1251
-12.718493,1251
-12.619571,1251
-12.519565,1253
-12.419573,1254
-12.319428,1254
-12.219451,1251
-12.119398,1248
-12.018552,1249
-11.919393,1249
-11.819449,1254
-11.719368,1253
-11.61957,1252
-11.519569,1251
-11.419576,1250
-11.319468,1250
-11.219514,1251
-11.119523,1253
-11.019047,1253
-10.919439,1251
-10.819474,1248
-10.719556,1251
-10.619574,1247
-10.51959,1253
-10.419576,1250
-10.319393,1253
-10.218556,1250
-10.118507,1247
-10.018571,1249
-9.919483,1249
-9.819437,1252
-9.718534,1254
-9.619587,1255
-9.519594,1250
-9.419589,1249
-9.319536,1250
-9.219408,1249
-9.119465,1250
-9.019055,1253
-8.919429,1254
-8.819391,1251
-8.719522,1255
-8.61959,1253
-8.519598,1252
-8.419588,1249
-8.319595,1248
-8.21947,1251
-8.119391,1252
-8.019354,1255
-7.919425,1253
-7.819463,1252
-7.719329,1254
-7.618505,1255
-7.519593,1252
-7.419596,1252
-7.319604,1251
-7.219458,1251
-7.119334,1253
-7.01855,1250
-6.919523,1251
-6.819401,1253
-6.719085,1252
-6.619531,1251
-6.519539,1252
-6.419604,1252
-6.319612,1254
-6.21849,1252
-6.118607,1248
-6.019499,1249
-5.918591,1254
-5.81848,1307
-5.719381,1260
-5.619491,1256
-5.519614,1206
-5.419617,1210
-5.319611,1240
-5.219513,1246
-5.118623,1240
-5.01943,1244
-4.919516,1267
-4.81853,1251
-4.719422,1261
-4.61944,1263
-4.519552,1251
-4.418636,1244
-4.319624,1261
-4.218539,1266
-4.118615,1245
-4.018631,1249
-3.918536,1237
-3.819562,1234
-3.719438,1256
-3.61945,1243
-3.51963,1258
-3.419629,1268
-3.319624,1268
-3.219631,1259
-3.118615,1261
-3.019505,1234
-2.918517,1233
-2.819397,1278
-2.718613,1283
-2.618549,1253
-2.518539,1265
-2.41962,1248
-2.319627,1243
-2.219639,1255
-2.118611,1238
-2.018614,1251
-1.918532,1251
-1.819509,1254
-1.718527,1259
-1.619416,1258
-1.518564,1246
-1.419637,1270
-1.319644,1428
-1.219639,1399
-1.118645,1218
-1.018501,1215
-0.918569,1132
-0.818582,1214
-0.718612,1353
-0.618504,1335
-0.518503,1390
-0.41961,1277
-0.319644,1217
-0.219651,1179
-0.119486,1184
-0.019545,1251
0.080579,1265
0.181462,1182
0.281499,1178
