T,gyro_1f_wy[dps]
-19.909576,0.0
-19.809564,0.0
-19.709586,0.0
-19.60956,0.0
-19.509582,0.0
-19.409561,0.0
-19.30955,0.0
-19.209549,0.0
-19.109567,0.0
-19.009554,0.0
-18.909572,0.0
-18.809547,0.0
-18.706257,0.0
-18.609535,0.0
-18.509543,0.0
-18.409549,0.0
-18.309551,0.0
-18.209551,0.0
-18.109536,0.0
-18.009536,0.0
-17.909534,0.0
-17.809555,0.0
-17.709517,0.0
-17.609543,0.0
-17.509539,0.0
-17.409553,0.0
-17.309554,0.0
-17.209527,0.0
-17.10954,0.0
-17.009539,0.0
-16.909544,0.0
-16.80954,0.0
-16.709501,0.0
-16.60954,0.0
-16.506655,0.0
-16.409523,0.0
-16.309532,0.0
-16.209505,0.0
-16.109523,0.0
-16.009536,0.0
-15.909547,0.0
-15.80953,0.0
-15.709544,0.0
-15.609517,0.0
-15.509513,0.0
-15.409513,0.0
-15.309514,0.0
-15.209522,0.0
-15.109507,0.0
-15.009494,0.0
-14.90952,0.0
-14.80951,0.0
-14.709519,0.0
-14.606645,0.0
-14.509496,0.0
-14.409503,0.0
-14.309513,0.0
-14.209495,0.0
-14.109514,0.0
-14.009521,0.0
-13.909521,0.0
-13.809516,0.0
-13.709504,0.0
-13.609504,0.0
-13.509513,0.0
-13.4095,0.0
-13.309509,0.0
-13.209501,0.0
-13.109487,0.0
-13.009461,0.0
-12.909471,0.0
-12.809486,0.0
-12.707003,0.0
-12.609487,0.0
-12.509469,0.0
-12.409469,0.0
-12.309491,0.0
-12.209478,0.0
-12.109469,0.0
-12.009469,0.0
-11.90948,0.0
-11.809488,0.0
-11.709469,0.0
-11.609456,0.0
-11.509465,0.0
-11.409478,0.0
-11.309461,0.0
-11.209487,0.0
-11.109486,0.0
-11.009485,0.0
-10.90949,0.0
-10.807028,0.0
-10.709487,0.0
-10.609487,0.0
-10.509482,0.0
-10.409469,0.0
-10.309471,0.0
-10.209484,0.0
-10.109483,0.0
-10.009496,0.0
-9.909487,0.0
-9.809483,0.0
-9.709471,0.0
-9.609484,0.0
-9.50948,0.0
-9.409493,0.0
-9.309488,0.0
-9.209489,0.0
-9.0095,0.0
-8.909175,0.0
-8.809501,0.0
-8.709502,0.0
-8.609488,0.0
-8.509497,0.0
-8.409484,0.0
-8.309493,0.0
-8.209506,0.0
-8.109471,0.0
-8.009503,0.0
-7.909468,0.0
-7.80949,0.0
-7.709484,0.0
-7.609511,0.0
-7.509506,0.0
-7.409506,0.0
-7.309502,0.0
-7.209502,0.0
-7.109506,0.0
-7.009506,0.0
-6.909498,0.0
-6.809506,0.0
-6.70623,0.0
-6.609508,0.0
-6.50949,0.0
-6.40949,0.0
-6.309526,0.0
-6.209499,0.0
-6.109524,0.0
-6.009511,0.0
-5.909515,0.0
-5.809502,0.0
-5.709501,0.0
-5.609514,0.0
-5.509509,0.0
-5.409514,0.0
-5.309509,0.0
-5.209496,0.0
-5.109495,0.0
-5.009508,0.0
-4.909472,0.0
-4.80623,0.0
-4.709496,0.0
-4.609496,0.0
-4.509504,0.0
-4.409505,0.0
-4.309513,0.0
-4.2095,0.0
-4.109512,0.0
-4.009499,0.0
-3.909477,0.0
-3.809513,0.0
-3.709513,0.0
-3.609526,0.0
-3.509509,0.0
-3.409522,0.0
-3.309491,0.0
-3.209505,0.0
-3.109517,0.0
-3.009516,0.0
-2.907042,0.0
-2.809495,0.0
-2.709496,0.0
-2.609495,0.0
-2.509518,0.0
-2.409518,0.0
-2.309527,0.0
-2.209514,0.0
-2.109525,0.0
-2.009512,0.0
-1.909517,0.0
-1.809526,0.0
-1.709513,0.0
-1.609533,0.0
-1.509515,0.0
-1.409515,0.0
-1.309537,0.0
-1.209524,0.0
-1.109496,0.0
-1.009073,0.0
-0.909527,0.0
-0.809509,0.0
-0.70951,0.0
-0.609511,0.0
-0.509519,0.0
-0.409532,0.0
-0.309529,0.0
-0.209502,0.0
-0.109527,0.0
-0.009527,0.0
0.090468,0.0
0.190464,0.0
0.290462,0.0
0.390463,0.0
0.490467,0.0
0.59048,0.0
0.69048,0.0
0.79044,1.1
0.890459,-0.4
0.990459,0.1
1.090468,0.0
1.190476,-0.6
1.290461,-0.5
1.390453,-0.5
1.490483,-1.1
1.590457,-1.5
1.690435,-1.8
1.790435,-1.4
1.890449,-1.0
1.990463,-1.3
2.090445,-1.6
2.190456,-2.0
2.290455,-1.9
2.390469,-2.3
2.490473,-2.5
2.59045,-1.9
2.690428,-2.1
2.790441,-1.8
2.890443,-1.4
2.99043,-1.0
3.093703,-0.6
3.19045,0.0
3.290449,0.3
3.390449,0.7
3.49044,1.2
3.59044,1.5
3.690435,1.9
3.790448,2.0
3.890437,2.3
3.990431,2.4
4.090426,2.4
4.190431,2.4
4.29045,2.3
4.390437,2.0
4.490432,1.9
4.590419,1.7
4.690453,1.4
4.790427,1.0
4.890455,0.7
4.993707,0.4
5.090463,0.0
5.190432,-0.1
5.290435,-0.5
5.390426,-0.5
5.490448,-0.9
5.590422,-0.8
5.690439,-0.7
6.090449,-0.3
6.190431,-0.1
6.290456,0.0
6.39042,0.2
6.490438,0.6
6.590438,0.6
6.690442,1.1
6.790443,1.2
6.893709,1.4
6.990417,1.6
7.090433,1.8
7.190415,1.9
7.290418,1.8
7.390436,2.0
7.490427,1.9
7.59044,1.9
7.790444,1.6
7.990419,1.6
8.090428,1.3
8.190432,1.2
8.290408,0.9
8.390422,0.9
8.490417,0.7
8.590434,0.7
8.690429,0.4
8.793694,0.4
8.890417,0.3
8.990418,0.2
9.090426,0.2
9.190421,0.1
9.290411,0.2
9.490428,0.4
9.590415,0.5
9.690411,0.5
9.79041,0.6
9.890412,0.9
9.990439,0.9
10.09046,1.0
10.190442,1.0
10.290415,0.9
10.390418,1.1
10.693707,1.1
10.890418,0.9
10.990418,0.9
11.090439,0.8
11.190425,0.8
11.290428,0.8
11.390428,0.7
11.490423,1.1
11.590423,0.7
11.690427,0.9
11.790414,0.8
11.890402,0.7
11.990419,1.0
12.090415,0.9
12.190413,0.8
12.290399,0.7
12.390412,0.6
12.49039,0.6
12.590932,0.5
12.690411,0.3
12.790412,0.4
12.890404,0.3
12.990404,0.2
13.090412,0.4
13.190395,0.3
13.290433,0.4
13.390411,0.4
13.490419,0.6
13.590392,0.9
13.690401,0.6
13.790401,0.8
13.890406,0.8
13.99042,0.9
14.090389,0.9
14.190409,0.9
14.290418,1.1
14.390392,1.0
14.490885,1.0
14.5904,1.1
14.690404,0.9
14.790396,1.2
14.890401,1.0
14.990401,1.0
15.090396,1.0
15.190407,1.0
15.29039,0.9
15.39039,0.8
15.490394,0.8
15.590395,0.7
15.690399,0.8
15.790385,0.7
15.890404,0.7
16.090386,0.8
16.19038,0.7
16.290397,0.8
16.390873,0.8
16.490388,0.7
16.590375,0.8
16.69038,0.8
16.790366,0.7
16.890381,0.8
16.990381,0.9
17.090376,0.8
17.19041,0.8
17.290387,0.7
17.390391,0.7
17.490408,0.8
17.590395,0.8
17.690393,0.7
17.790407,0.8
17.890382,0.8
17.990376,0.7
18.090371,0.8
18.190381,0.8
18.290877,0.8
18.390375,0.6
18.49037,0.8
18.590383,0.6
18.690374,0.7
18.790374,0.8
18.890376,0.7
18.990389,0.7
19.090401,0.8
19.290386,0.7
19.39038,0.9
19.590384,0.8
19.690376,0.9
19.790376,0.9
19.890377,0.8
19.990377,0.8
20.090363,0.7
20.190866,0.7
20.290388,0.7
20.390375,0.4
20.590379,0.3
20.690387,0.1
20.790379,0.1
20.890384,-0.1
20.990388,-0.2
21.090374,-0.3
21.19037,-0.4
21.290351,-0.6
21.390364,-0.5
21.490355,-0.6
21.590342,-0.7
21.690373,-0.5
21.890359,-0.5
21.990359,-0.3
22.09086,-0.4
22.190372,-0.2
22.390364,0.0
22.590381,0.1
22.690359,0.0
22.790386,0.4
22.890387,0.2
22.990388,0.2
23.090356,0.3
23.290354,0.3
23.390358,0.4
23.490357,0.3
23.590397,0.3
23.690374,0.1
23.790361,0.0
23.890376,0.0
23.990362,0.0
24.090358,-0.1
24.190398,-0.2
24.290369,-0.3
24.390373,-0.1
24.490364,-0.2
24.590365,-0.3
24.690342,-0.3
24.790369,-0.3
24.890374,-0.3
24.990361,-0.4
25.090383,-0.4
25.19037,-0.4
25.290354,-0.5
25.390372,-0.5
25.490376,-0.7
25.590362,-0.7
25.69034,-0.6
25.790341,-0.8
25.890349,-0.7
25.99033,-0.6
26.090326,-0.9
26.190353,-0.8
26.29035,-0.9
26.390328,-1.0
26.490336,-0.8
26.59033,-0.9
26.690325,-0.9
26.790346,-0.8
26.890321,-1.0
26.990334,-0.7
27.090356,-0.7
27.19033,-0.8
27.290341,-0.7
27.390332,-0.8
27.490313,-0.8
27.590321,-0.7
27.690333,-0.9
27.790332,-0.8
27.890338,-0.9
27.990359,-0.9
28.090345,-0.9
28.190328,-0.9
28.290326,-0.8
28.39033,-0.8
28.490311,-0.8
28.590316,-0.7
28.690327,-0.6
28.790318,-0.6
28.890333,-0.4
28.990333,-0.5
29.090332,-0.5
29.190333,-0.5
29.290326,-0.5
29.390317,-0.5
29.490338,-0.5
29.59033,-0.5
29.69032,-0.5
29.790307,-0.5
29.890322,-0.4
29.99034,-0.5
30.090321,-0.3
30.190318,-0.4
30.290338,-0.2
30.390319,-0.1
30.490344,0.0
30.590331,0.0
30.690348,0.1
30.790335,0.3
30.89031,0.3
30.99031,0.4
31.090331,0.3
31.190333,0.4
31.290316,0.4
31.390337,0.4
31.490315,0.2
31.590322,0.3
31.690313,0.2
31.790327,0.3
31.890328,0.2
31.990315,0.0
32.090327,0.1
32.190332,0.0
32.290311,0.0
32.390325,-0.1
32.490329,-0.1
32.590329,-0.1
32.690341,-0.2
32.790328,-0.3
32.89032,-0.3
32.99032,-0.2
33.090329,-0.3
33.190338,-0.2
33.290322,-0.1
33.390323,-0.3
33.490353,-0.1
33.590314,-0.1
33.690305,-0.1
33.790299,0.0
33.890327,0.0
33.990314,0.0
34.090309,0.0
34.190323,0.0
34.290329,0.0
34.39033,0.0
34.49032,0.1
34.590307,0.1
34.690312,0.0
34.790298,0.2
34.890304,0.0
34.990304,0.1
35.090312,0.0
35.190296,0.0
35.290316,0.0
35.390329,0.2
35.490307,0.0
35.590334,-0.1
35.690312,0.1
35.790319,0.1
35.890298,0.0
35.990285,0.1
36.09028,0.1
36.190294,0.1
36.290287,0.2
36.390321,0.2
36.490286,0.1
36.590286,0.2
36.690303,0.2
36.790277,0.2
36.890305,0.4
36.990318,0.2
37.0903,0.3
37.190284,0.2
37.290303,0.3
37.390303,0.3
37.490308,0.2
37.590295,0.1
37.690299,0.2
37.790299,0.3
37.8903,0.1
37.990287,0.2
38.090299,0.2
38.19031,0.2
38.290316,0.0
38.390307,0.1
38.490298,0.1
38.590311,0.0
38.690302,0.1
38.790289,0.0
38.790289,0.0
38.890303,0.0
38.990291,0.0
39.090286,-0.1
39.190282,-0.2
39.290302,0.0
39.390303,-0.2
39.490294,-0.2
39.590307,-0.2
39.690311,-0.2
39.790298,-0.2
39.890312,-0.3
39.990299,-0.2
40.090286,-0.2
40.190282,-0.3
40.290302,-0.2
40.390302,-0.1
40.490297,-0.3
40.590297,-0.1
40.690302,0.0
40.790314,0.1
40.890303,-0.2
40.99029,0.0
41.090298,0.0
41.190282,0.0
41.290302,0.0
41.390302,0.0
41.490306,0.0
41.590293,0.1
41.690284,0.0
41.790284,0.1
41.890303,0.0
41.990307,0.2
42.090302,0.0
42.190299,0.1
42.290319,0.0
42.390292,0.1
42.490296,0.1
42.59027,0.2
42.690287,0.2
42.790301,0.2
42.890263,0.2
42.990289,0.3
43.090314,0.1
43.190272,0.1
43.290305,0.3
43.390318,0.0
43.4903,0.1
43.590291,-0.1
43.690295,0.0
43.790295,0.0
43.890297,-0.1
43.99027,0.0
44.090273,0.0
44.190283,0.0
44.290276,0.0
44.390276,0.0
44.490267,0.0
44.59028,0.1
44.690298,0.2
44.790285,0.3
44.890259,0.3
44.99026,0.5
45.090255,0.7
45.190265,0.7
45.290258,0.8
45.390258,0.9
45.490263,0.9
45.590263,0.9
45.690267,0.7
45.790254,0.7
45.890295,0.6
45.990273,0.4
46.090255,0.3
46.190251,0.1
46.290284,0.0
46.390262,-0.1
46.490283,-0.2
46.590257,-0.4
46.690275,-0.5
46.790261,-0.4
46.890263,-0.5
46.990263,-0.6
47.090272,-0.5
47.190268,-0.7
47.290275,-0.8
47.390275,-0.7
47.490252,-0.8
47.590253,-0.7
47.69027,-0.8
47.79027,-0.7
47.890285,-0.5
47.990259,-0.6
48.090267,-0.4
48.190264,-0.3
48.29027,-0.3
48.390296,0.0
48.490274,0.0
48.590288,0.0
48.690265,0.2
48.790252,0.4
48.890254,0.3
48.990254,0.2
49.090249,0.3
49.190254,0.3
49.290268,0.3
49.390254,0.3
49.490285,0.4
49.590245,0.3
49.690236,0.4
49.790263,0.4
49.890264,0.3
49.990251,0.3
50.090259,0.3
50.190257,0.2
50.290249,0.2
50.390244,0.2
50.490248,0.2
50.590235,0.0
50.690265,0.0
50.790239,0.0
50.890254,0.0
50.990254,-0.1
51.090289,0.0
51.190254,-0.1
51.29026,-0.1
51.390241,-0.2
51.490245,-0.2
51.590258,-0.1
51.690236,-0.1
51.79025,-0.2
51.890237,-0.1
51.990251,-0.2
52.090246,-0.3
52.190243,-0.2
52.290249,0.0
52.390263,-0.2
52.590227,-0.1
52.690271,-0.1
52.790232,-0.1
52.990233,-0.1
53.490236,0.0
53.590254,-0.2
