T,gyro_1f_ax
22.793545,24
22.893547,-21
22.993547,-26
23.093516,-17
23.193503,-48
23.293514,-73
23.393518,-2
23.49349,-31
23.593543,-17
23.693547,-34
23.793521,25
23.893536,22
23.993509,-17
24.093504,-14
24.193545,-66
24.294044,-9
24.39352,28
24.493524,39
24.593511,51
24.693502,9
24.793529,-14
24.893534,-56
24.993521,-62
25.093542,-34
25.193544,-21
25.293514,-51
25.393531,-21
25.493523,-69
25.593522,-50
25.693474,-54
25.793501,-50
25.893469,-69
25.993464,0
26.093472,-73
26.194028,18
26.29351,-22
26.393488,-38
26.493483,-130
26.59349,-76
26.693472,-73
26.793466,-57
26.893467,-34
26.993481,-54
27.093516,-70
27.193463,40
27.293474,-31
27.393478,-80
27.493447,-96
27.593481,-148
27.693466,-14
27.793492,-37
27.893485,-34
27.993479,-115
28.09398,-88
28.193462,-135
28.293472,-156
28.393463,-106
28.493471,-129
28.593476,-123
28.693461,-90
28.793465,-107
28.893479,-161
28.99348,-97
29.093465,-159
29.193453,-104
29.293473,-150
29.39345,-138
29.493498,-109
29.593476,-86
29.693454,-154
29.793441,-118
29.893455,-118
29.994001,-122
30.093455,-158
30.193465,-118
30.293498,-143
30.393465,-131
30.493477,-136
30.593464,-90
30.693494,-166
30.793468,-159
30.89347,-117
30.993456,-152
31.093491,-229
31.193479,-106
31.293489,-100
31.393484,-169
31.493488,-132
31.593469,-147
31.693473,-135
31.7935,-139
31.894003,-160
31.993461,-197
32.093487,-150
32.193492,-140
32.293458,-137
32.393485,-101
32.493476,-33
32.593476,-114
32.693487,-116
32.793475,-102
32.893466,-69
32.993467,-175
33.093449,-138
33.193485,-152
33.293469,-198
33.393456,-186
33.493486,-126
33.593473,-196
33.693451,-171
33.793948,-138
33.89346,-154
33.993447,-181
34.093469,-135
34.193456,-95
34.293476,-155
34.39349,-180
34.493467,-30
34.593467,-168
34.693445,-97
34.793445,-162
34.893464,-209
34.993464,-150
35.093472,-161
35.193456,-164
35.293489,-135
35.393462,-111
35.49344,-73
35.59348,-121
35.693947,-149
35.793465,-118
35.893458,-213
35.993431,-173
36.093413,-143
36.19344,-182
36.293447,-160
36.393467,-114
36.493445,-110
36.593432,-145
36.693489,-64
36.793437,-155
36.893451,-82
36.993464,-133
37.09346,-153
37.19343,-166
37.293449,-104
37.393476,-76
37.493454,-151
37.593969,-93
37.693432,-147
37.793432,-191
37.893434,-146
37.993433,-175
38.093433,-191
38.193456,-117
38.293476,-136
38.393453,-166
38.493445,-165
38.593431,-109
38.693462,-152
38.793462,-146
38.89345,-100
38.993437,-82
39.093419,-75
39.193442,-145
39.293436,-119
39.393449,-180
39.493929,-171
39.59344,-189
39.693444,-133
39.793445,-175
39.793445,-175
39.893446,-168
39.993446,-141
40.093445,-173
40.193455,-148
40.293462,-156
40.393436,-191
40.493457,-158
40.593444,-164
40.693448,-183
40.793435,-171
40.893476,-136
40.993423,-165
41.093458,-119
41.193428,-147
41.293448,-67
41.293448,-67
41.393937,-137
41.493452,-168
41.593426,-202
41.693431,-121
41.793457,-192
41.893462,-172
41.993453,-91
42.093448,-225
42.193458,-139
42.293478,-188
42.393452,-156
42.493443,-178
42.59343,-121
42.693447,-105
42.793487,-121
42.893422,-153
42.993435,-132
43.093461,-157
43.193445,-169
43.29398,-196
43.393478,-206
43.493473,-154
43.593464,-132
43.693468,-137
43.793442,-188
43.893443,-121
43.99343,-157
44.093432,-59
44.193443,-128
44.293462,-152
44.393423,-205
44.49344,-140
44.593427,-154
44.693471,-167
44.793431,-159
44.893432,-174
44.993446,-109
45.093415,-148
45.193927,-153
45.293431,-97
45.393405,-99
45.493409,-121
45.593422,-67
45.693427,-60
45.793414,-37
45.893455,-54
45.993432,-75
46.093415,-70
46.193411,-61
46.293457,-81
46.393409,-73
46.493443,-76
46.593417,-109
46.693421,-62
46.793434,-4
46.893423,-73
46.993436,-119
47.093933,-52
47.193428,-106
47.293435,-150
47.393435,-114
47.493425,-96
47.593399,-129
47.69343,-152
47.793417,-175
47.893431,-192
47.993432,-104
48.0934,-118
48.193397,-160
48.293457,-124
48.39347,-138
48.493448,-101
48.593461,-144
48.693438,-107
48.793412,-11
48.893414,-95
48.993916,-141
49.093396,-125
49.193387,-93
49.293427,-88
49.393401,-25
49.493458,-140
49.593405,-88
49.693383,-112
49.793423,-67
49.893411,-134
49.993397,-68
50.093406,-54
50.193403,-86
50.293396,-147
50.393417,-106
50.493395,-64
50.593394,-87
50.693412,-101
50.793412,-74
50.893929,-120
50.993414,-136
51.093449,-101
51.193427,-156
51.293419,-122
51.393414,-103
51.493418,-104
51.593431,-134
51.693396,-124
51.79341,-142
51.89341,-120
51.993384,-107
52.093406,-26
52.193416,-158
52.393423,-82
52.593374,-108
52.693418,-136
52.793894,-168
52.893393,-186
52.99338,-150
53.093375,-142
53.193385,-202
53.493383,-114
53.593413,-190
53.693418,-181
54.993383,-113
55.093391,-147
55.193401,-42
55.293368,-137
55.393407,-69
55.493412,-66
55.593425,-93
55.693403,-38
55.793416,-50
55.893431,-90
55.993391,-77
56.093413,-58
56.193383,-35
56.293416,-64
56.393416,-137
56.493368,-109
56.5939,-17
56.69338,-74
56.79338,-7
56.893389,-17
56.993402,-55
57.093411,-66
57.193394,-16
57.293408,-63
57.393382,-97
57.493426,-59
57.593399,-77
57.69339,-15
57.79343,-48
57.893391,7
57.993405,-59
