T,gyro_5f_wz[dps]
13.780137,-0.2
13.87999,-0.2
13.979972,0.1
14.079962,0.2
14.179961,0.3
14.280109,0.2
14.380121,-0.4
14.479943,-0.3
14.57992,-0.1
14.680182,0.4
14.779888,0.3
14.879923,0.4
14.979973,0.1
15.08002,0.0
15.179957,-0.2
15.280043,-0.2
15.37998,-0.1
15.480216,0.0
15.579945,0.0
15.67996,0.0
15.780086,0.1
15.879935,0.1
16.07995,0.3
16.179949,0.1
16.280222,-0.5
16.38002,-0.6
16.48001,-0.2
16.579934,-0.2
16.680139,0.0
16.78002,0.0
16.880083,0.0
16.979952,0.0
17.079969,-0.3
17.179976,-0.4
17.279933,-0.5
17.379941,-0.5
17.480179,0.0
17.680011,0.0
17.780021,-0.2
17.880198,-0.1
17.98025,-0.2
18.079945,-0.1
18.179944,0.0
18.279989,0.1
18.380031,0.0
18.479935,0.1
18.580003,0.2
18.680014,0.4
18.780033,0.2
18.879936,0.0
18.980057,-0.3
19.079931,-0.3
19.17993,-0.2
19.279936,0.0
19.380099,0.2
19.480106,0.2
19.580073,-0.3
19.680146,-0.2
19.779981,-0.2
19.880065,-0.1
19.979986,-0.1
20.079932,0.0
20.179922,-0.1
20.279919,0.0
20.380038,-0.1
20.580063,0.1
20.679921,0.1
20.779897,0.1
20.879918,0.0
20.979921,-0.1
21.079933,0.1
21.180077,-0.1
21.280074,0.4
21.380002,0.7
21.480092,0.3
21.580116,0.2
21.680136,0.3
21.779927,0.3
21.880226,0.8
21.980052,0.9
22.07992,0.7
22.179923,0.1
22.279911,0.4
22.379912,0.7
22.479955,0.8
22.580037,0.5
22.680062,0.1
22.780126,-0.5
22.880125,-0.2
22.979941,0.0
23.080032,0.4
23.179902,0.2
23.279903,0.0
23.379904,-0.9
23.480221,-0.9
23.580177,-1.1
23.680041,-0.7
23.780042,-0.9
23.879982,-0.4
23.980043,-0.5
24.080094,0.0
24.179906,0.1
24.279934,0.2
24.379913,-0.3
24.480098,-0.7
24.580014,-1.0
24.680002,-1.0
24.779959,-0.9
24.879927,-0.7
24.980003,-0.4
25.080084,-0.3
25.179894,-0.5
25.279895,-1.1
25.379901,-1.7
25.480107,-1.4
25.580064,-1.2
25.67998,-0.5
25.780008,-0.1
25.880275,-0.1
25.980205,-0.7
26.080026,-0.8
26.279891,-0.6
26.379897,-0.8
26.479893,-0.9
26.580249,-0.9
26.679918,-1.1
26.780196,-0.8
26.880029,-1.0
26.980003,-1.5
27.080022,-1.7
27.179928,-1.6
27.279878,-0.9
27.379884,-0.8
27.479885,-1.1
27.580067,-1.6
27.680259,-0.9
27.780072,-0.6
27.87989,0.1
27.98019,-0.1
28.079918,-0.9
28.17993,-1.6
28.279878,-1.3
28.379879,-0.8
28.479871,-0.9
28.579877,-0.8
28.680232,-0.9
28.779926,-0.8
28.879974,-1.3
28.980037,-0.9
29.079929,0.0
29.179886,0.2
29.280033,0.0
29.379866,-0.9
29.479863,-0.4
29.579877,0.6
29.679947,1.0
29.780092,0.5
29.880032,0.1
29.979901,-0.4
30.080005,0.0
30.180076,-0.3
30.279958,0.0
30.380157,-0.4
30.480158,-0.3
30.580168,-1.1
30.680176,0.0
30.780022,-0.1
30.880174,-0.1
30.980043,0.2
31.080136,0.1
31.179894,0.4
31.279922,-0.1
31.380165,0.0
31.480153,0.2
