T,gyro_5f_roll[deg]
-19.916867,359.9
-19.816921,0.0
-19.716917,0.0
-19.616929,0.0
-19.51664,0.0
-19.416869,0.0
-19.316758,0.0
-19.216994,0.0
-19.116951,0.0
-19.016988,0.0
-18.91685,0.0
-18.816913,0.0
-18.716912,0.0
-18.616929,0.0
-18.516967,0.0
-18.416918,0.0
-18.31689,0.0
-18.216779,0.0
-18.116703,0.0
-18.016719,0.0
-17.916805,0.0
-17.816922,0.0
-17.716854,0.0
-17.616933,0.0
-17.516871,0.0
-17.416722,0.0
-17.316786,0.0
-17.216856,0.0
-17.117031,0.0
-17.016926,0.0
-16.916892,0.0
-16.816739,0.0
-16.716938,0.0
-16.616932,0.0
-16.516944,0.0
-16.417018,0.0
-16.317016,0.0
-16.21668,0.0
-16.116916,0.0
-16.016725,0.0
-15.916732,0.0
-15.816985,0.0
-15.716946,0.0
-15.616945,0.0
-15.516944,0.0
-15.416977,0.0
-15.316896,0.0
-15.21694,0.0
-15.116997,0.0
-15.016687,0.0
-14.916768,359.9
-14.816868,359.9
-14.716941,0.0
-14.616889,359.9
-14.516811,359.9
-14.416727,0.0
-14.316922,0.0
-14.216937,0.0
-14.116875,0.0
-14.016669,0.0
-13.917021,359.9
-13.816916,359.9
-13.71695,0.0
-13.61687,0.0
-13.516957,0.0
-13.416831,0.0
-13.316887,359.9
-13.216798,360.0
-13.116943,360.0
-13.016916,359.9
-12.916697,359.9
-12.816912,359.9
-12.716817,359.9
-12.616954,359.9
-12.516962,359.9
-12.41697,359.9
-12.31697,359.9
-12.216854,359.9
-12.11694,359.9
-12.016863,359.9
-11.916737,359.9
-11.816991,359.9
-11.716756,359.9
-11.616967,359.9
-11.516966,359.9
-11.416965,359.9
-11.31701,359.9
-11.216917,359.9
-11.117052,359.9
-11.016931,359.9
-10.916783,359.9
-10.816862,0.0
-10.716886,359.9
-10.616949,359.9
-10.516974,359.9
-10.416973,359.9
-10.316909,359.9
-10.216754,359.9
-10.116832,359.9
-10.016812,359.9
-9.916813,359.9
-9.816838,359.9
-9.716775,359.9
-9.61697,359.9
-9.516978,359.9
-9.416972,359.9
-9.316953,359.9
-9.216811,359.9
-9.117007,359.9
-9.016965,359.9
-8.916759,359.9
-8.816933,359.9
-8.717051,359.9
-8.616987,359.9
-8.516995,359.9
-8.416976,359.9
-8.316983,359.9
-8.21686,359.9
-8.116721,359.9
-8.016755,359.9
-7.916968,359.9
-7.816807,359.9
-7.716703,359.9
-7.616662,359.9
-7.516994,0.0
-7.416998,359.9
-7.316992,0.0
-7.217,0.0
-7.116678,0.0
-7.016747,359.9
-6.916867,359.9
-6.816956,0.0
-6.716996,359.9
-6.61672,359.9
-6.516941,359.9
-6.417001,359.9
-6.317,359.9
-6.216675,359.9
-6.116931,359.9
-6.016901,359.9
-5.916819,359.9
-5.816734,359.9
-5.716724,359.9
-5.616892,359.9
-5.517002,359.9
-5.417005,359.9
-5.317013,359.9
-5.216932,359.9
-5.116961,359.9
-5.016973,359.9
-4.916931,359.9
-4.816713,359.9
-4.716765,359.9
-4.616815,359.9
-4.517001,359.9
-4.416947,359.9
-4.317008,359.9
-4.216781,359.9
-4.11687,359.9
-4.016872,359.9
-3.916706,359.9
-3.816739,359.9
-3.71698,359.9
-3.616979,359.9
-3.517027,359.9
-3.417026,359.9
-3.31702,359.9
-3.216882,359.9
-3.116939,359.9
-3.01692,359.9
-2.9167,359.9
-2.816728,359.9
-2.716797,359.9
-2.616732,359.9
-2.516736,359.9
-2.41703,359.9
-2.317037,359.9
-2.217029,359.9
-2.116935,359.9
-2.016797,359.9
-1.91676,359.9
-1.816853,359.9
-1.716697,359.9
-1.616804,359.9
-1.516805,359.9
-1.417034,359.9
-1.317041,359.9
-1.217029,359.9
-1.116844,359.9
-1.016839,359.9
-0.916893,359.9
-0.816752,359.9
-0.716949,359.9
-0.616854,359.9
-0.516744,359.9
-0.417046,359.9
-0.317041,359.9
-0.217041,359.9
-0.117028,359.9
-0.016933,359.9
0.083249,359.9
0.183124,359.9
0.283175,359.9
0.383044,359.9
0.482966,359.9
0.582968,359.9
0.682956,359.9
0.783136,359.9
0.883009,0.0
0.983169,0.0
1.083158,359.9
1.183305,0.0
1.283265,359.9
1.383215,359.9
1.483174,359.9
1.583361,359.8
1.683163,359.7
1.783198,359.8
1.88316,359.8
1.983066,359.9
2.083077,359.9
2.183189,359.9
2.283068,359.9
2.38308,0.0
2.483162,0.0
2.583096,0.0
2.683233,0.0
2.783206,0.1
2.883189,0.2
2.983197,0.3
3.08315,0.4
3.182953,0.5
3.283185,0.5
3.383121,0.5
3.483177,0.5
3.583311,0.5
3.683053,0.5
3.783171,0.5
3.883163,0.5
3.983273,0.5
4.083215,0.4
4.183249,0.4
4.283278,0.4
4.383202,0.4
4.483152,0.3
4.583163,0.3
4.683097,0.2
4.783158,0.2
4.883146,0.1
4.983152,0.1
5.0832,0.0
5.183101,0.0
5.283131,0.0
5.383134,0.0
5.482969,0.0
5.583244,359.9
6.083213,0.0
6.183009,0.1
6.283065,0.1
6.383174,0.1
6.483057,0.2
6.5832,0.2
6.68307,0.2
6.783145,0.2
6.883137,0.2
6.983143,0.1
7.083149,0.1
7.183246,0.1
7.283071,0.1
7.3831,0.1
7.483191,0.1
7.583351,0.2
7.983126,0.2
8.083142,0.2
8.183131,0.2
8.282989,0.2
8.383168,0.2
8.48302,0.1
8.58322,0.1
8.683208,0.0
8.783173,0.0
8.883134,0.0
8.983126,0.0
9.083116,0.0
9.18313,0.0
9.283107,359.9
9.48305,359.9
9.583206,0.0
9.68299,0.0
9.78326,0.0
9.883236,0.0
9.983122,359.9
10.083113,359.9
10.183238,359.9
10.283271,0.0
10.383127,0.0
10.682976,0.0
10.8831,359.9
10.983149,359.9
11.083126,0.0
11.183245,0.0
11.283155,0.0
11.383038,0.0
11.483186,0.0
11.583255,0.0
11.683234,0.0
11.783105,0.0
11.883109,0.0
11.983159,0.0
12.0831,0.0
12.18319,0.0
12.283195,0.0
12.383225,359.9
12.483196,359.9
12.583319,359.9
12.682976,359.9
12.783245,0.0
12.883035,0.0
12.983089,359.9
13.083101,359.9
13.183086,359.9
13.283386,359.9
13.383005,359.9
13.482981,359.9
13.583297,359.9
13.68318,359.9
13.783148,359.9
13.88317,359.9
13.983082,359.9
14.083081,359.9
14.183084,0.0
14.28318,0.0
14.383218,0.0
14.483194,0.0
14.583216,359.9
14.683221,0.0
14.783098,0.0
14.883135,0.0
14.983096,0.0
15.08309,0.0
15.18308,0.0
15.283252,0.0
15.383276,0.0
15.483242,0.0
15.583227,0.0
15.683198,0.0
15.78311,0.0
15.883133,0.0
16.083069,0.0
16.183081,0.0
16.283293,0.0
16.383303,0.0
16.483293,0.0
16.583172,359.9
16.683165,359.9
16.783018,359.9
16.883366,359.9
16.983075,359.9
17.083087,359.9
17.183095,359.9
17.283143,359.8
17.383153,359.8
17.483191,359.7
17.58315,359.7
